"Reference","Value","Footprint","Qty","Digikey_PN"
"C402,C500","10u","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","2","399-8269-1-ND"
"C501,C502,C504,C505","1u","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","4","478-1651-1-ND"
"C600,C601,C602","47u","Capacitor_SMD:CP_Elec_6.3x7.7","3","493-2225-1-ND"
"L200","4.7uH","Wattle_Inductors:Bournes_SRP4020TA-4R7M","1","SRP4020TA-4R7MCT-ND"
"Q500","BD139","Package_TO_SOT_THT:TO-126-3_Vertical","1","497-6656-5-ND"
"Q501","BD140","Package_TO_SOT_THT:TO-126-3_Vertical","1","497-6657-5-ND"
"RV500","10k","Wattle_Trimpots:PV36W103C01B00","1","118-PV36W103C01B00-ND"
"SW300","Reset","Wattle_Switches:PTS810","2","CKN10878CT-ND"
"U200","AP64352Q","Wattle_Regulators:AP64352QSP-13","1","31-AP64352QSP-13CT-ND"
"U300","ESP32-S3-WROOM-1","RF_Module:ESP32-S3-WROOM-1","1","1965-ESP32-S3-WROOM-1U-N8CT-ND"
"U400","AD9833BRMZ","Package_SO:MSOP-10_3x3mm_P0.5mm","1","AD9833BRMZ"
"U500,U501","OPA604AU/2K5","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","2","296-46167-1-ND"
"Y400","24Mhz","Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm","1","1908-O240-JO32-B-1V3-1-T1-LFCT-ND"
